source,target,type
5817051,41391510,Undirected
5632141,56142961,Undirected
6015496,38611337,Undirected
5580279,43006265,Undirected
6404557,56142961,Undirected
6404557,21103702,Undirected
6404557,35493409,Undirected
6404557,43006265,Undirected
6829356,10034681,Undirected
6829356,17825020,Undirected
6829356,24496037,Undirected
6829356,10714912,Undirected
6829356,41391510,Undirected
6328352,42903486,Undirected
6704050,10721038,Undirected
18821023,43396309,Undirected
18801841,22325348,Undirected
19204958,43397704,Undirected
22825406,24496037,Undirected
23644008,41575222,Undirected
23075043,22209354,Undirected
44371354,38104346,Undirected
44817318,41575222,Undirected
45257054,41575222,Undirected
44277694,18309817,Undirected
45268625,39831757,Undirected
44881822,10034681,Undirected
44881822,24496037,Undirected
44393533,56142961,Undirected
44393533,41575222,Undirected
44924446,41575222,Undirected
44449107,15190345,Undirected
44094217,59041324,Undirected
44137426,22197894,Undirected
44217888,10096749,Undirected
44217888,41575222,Undirected
44266039,41391510,Undirected
46680468,43396576,Undirected
46843776,43395599,Undirected
45597773,50664014,Undirected
45453481,59041324,Undirected
46300493,50664014,Undirected
46731510,43399206,Undirected
46477064,56142961,Undirected
46477064,43303232,Undirected
2409374,10034681,Undirected
2409374,14110744,Undirected
2534866,24496037,Undirected
2330928,9606396,Undirected
2330928,10714912,Undirected
2330928,15190345,Undirected
2357491,43434856,Undirected
2460015,9426720,Undirected
2578465,17825020,Undirected
2578465,10714912,Undirected
2218420,43392142,Undirected
2218420,41263337,Undirected
770559,14110744,Undirected
68101020,43395960,Undirected
1016510,10715189,Undirected
3887774,43395090,Undirected
3887774,43397687,Undirected
3887774,43395896,Undirected
4092617,24496037,Undirected
4049196,10715189,Undirected
4291951,18498743,Undirected
4291951,22325348,Undirected
4291951,10952913,Undirected
4157870,17343940,Undirected
4157870,21103702,Undirected
4157870,38639826,Undirected
4157870,50664014,Undirected
4157870,10715560,Undirected
4157870,43223141,Undirected
4017227,56142961,Undirected
4011589,17825020,Undirected
4363107,35493409,Undirected
3947992,43397704,Undirected
4537913,10714912,Undirected
3894552,43396576,Undirected
28934117,10016207,Undirected
28934117,41391510,Undirected
3067901,22325348,Undirected
3109493,17343940,Undirected
3007578,19937752,Undirected
3001477,43395793,Undirected
3187032,19472742,Undirected
3187032,50617183,Undirected
3187032,10715189,Undirected
3187032,43226690,Undirected
3128788,35638553,Undirected
3128788,43226690,Undirected
2664296,43484248,Undirected
3198019,38104346,Undirected
3198019,24496037,Undirected
3143244,17825020,Undirected
3109663,22181826,Undirected
3177865,35638553,Undirected
3326791,22181826,Undirected
3326791,35493409,Undirected
3326791,41575222,Undirected
3222123,19937752,Undirected
3392797,56142961,Undirected
3392797,50664014,Undirected
3392797,10714912,Undirected
3308696,43434856,Undirected
3297356,50664014,Undirected
3297356,22209354,Undirected
3297356,43226690,Undirected
3567969,18309817,Undirected
3567969,35493409,Undirected
3550926,43399206,Undirected
3213536,41263337,Undirected
3215403,20352419,Undirected
3215403,21028302,Undirected
3215403,38104346,Undirected
3215403,15190345,Undirected
3223380,22197894,Undirected
3223380,24496037,Undirected
3223380,10714912,Undirected
3849632,39831757,Undirected
3634892,18498743,Undirected
3595438,43006265,Undirected
3765229,22027867,Undirected
3342964,10034681,Undirected
3342964,17825020,Undirected
3342964,22209354,Undirected
3342964,10721038,Undirected
3342964,43484248,Undirected
3342964,41391510,Undirected
3768976,22209354,Undirected
3213864,10721038,Undirected
57689372,9426720,Undirected
57676538,56142961,Undirected
60054862,50617183,Undirected
62352567,50617183,Undirected
62345196,21028302,Undirected
47162623,43434856,Undirected
52266131,43395090,Undirected
9934702,10715560,Undirected
10251250,35638553,Undirected
10441762,9606396,Undirected
17007913,56142961,Undirected
17007913,35493409,Undirected
16252112,42903486,Undirected
16405225,43484248,Undirected
16837917,21103702,Undirected
16837917,17825020,Undirected
19724668,50664014,Undirected
19724668,43484248,Undirected
19724668,41575222,Undirected
19393483,38639826,Undirected
20234760,43395960,Undirected
20234760,43677317,Undirected
21357362,22209354,Undirected
21185435,22325348,Undirected
21185435,10714912,Undirected
21341406,56780934,Undirected
37583744,39831757,Undirected
8406720,19472742,Undirected
8406720,38639826,Undirected
8277762,8279082,Undirected
8277762,22325348,Undirected
8277762,41575222,Undirected
8703295,35638553,Undirected
15478153,18309817,Undirected
15478153,39831757,Undirected
15478153,41575222,Undirected
18256460,17825020,Undirected
17744328,41575222,Undirected
18379417,56142961,Undirected
21740197,43396327,Undirected
22098582,19472742,Undirected
22057821,22325348,Undirected
24133565,41575222,Undirected
24348163,17825020,Undirected
24348163,10952913,Undirected
24679343,41391510,Undirected
23733398,41391510,Undirected
23734496,59041324,Undirected
10561504,24496037,Undirected
10561504,10715560,Undirected
11583582,56142961,Undirected
11583582,8279082,Undirected
13889028,21028302,Undirected
13889028,10952913,Undirected
13889028,43484248,Undirected
13889028,43677317,Undirected
13578175,41575222,Undirected
